City,Metric,Forecast
Ahmedabad,PM2.5,"[38.92738220925878, 41.22912879668914, 38.60784101082712, 38.03097584228617, 38.60224827339694, 38.4025428269509, 38.66061988652722]"
Ahmedabad,PM10,"[105.85198922740686, 104.29593792394363, 114.0754335288184, 111.32820808190168, 109.25763310493444, 105.90112411825017, 106.91573556679917]"
Ahmedabad,NO,"[5.525115620351423, 6.209320790982562, 6.3716205157737384, 6.222589113392681, 6.027684537832358, 5.993634389164735, 6.058157690727147]"
Ahmedabad,NO2,"[40.23034119769418, 37.528459627717055, 37.47327504083804, 39.48703401741432, 39.07099718403153, 39.063960331672504, 38.84286037851543]"
Ahmedabad,NOx,"[20.06685938226928, 19.83868715170943, 20.544160510886517, 21.435164406440826, 22.010032210593263, 21.540987817560065, 21.234059151474774]"
Ahmedabad,CO,"[0.36144000779187774, 0.44414727225548023, 0.47910831964989586, 0.4730737714298728, 0.4503456016601294, 0.4405553638961033, 0.4456206863478498]"
Ahmedabad,SO2,"[13.964622447755056, 13.827907913418057, 13.442721733166746, 13.694177908354042, 13.941639052123723, 13.92166554145988, 13.910677393675009]"
Ahmedabad,O3,"[20.401199190519115, 23.15316750936817, 24.28796568014253, 25.927680078835646, 24.145109243494954, 23.411658200119717, 23.4793070225486]"
Ahmedabad,Benzene,"[1.5806339633531843, 1.5003824537842365, 1.4763929492301708, 1.4865188928142377, 1.5197482793888892, 1.5230323033751283, 1.5124657676392934]"
Ahmedabad,Toluene,"[45.31681945836948, 47.43976910169312, 49.37174338383868, 47.133067257455735, 47.50886912471423, 47.139029264773576, 47.460029990848135]"
Ahmedabad,Xylene,"[1.7280874829989235, 1.517981589352903, 1.376344039656071, 1.4366570008669213, 1.552529030396957, 1.579635194838857, 1.5400289868835049]"
Ahmedabad,AQI,"[110.01888840620408, 103.24294485490661, 100.25938551985442, 98.5939239834927, 100.49117796407283, 103.31313219921992, 103.64876357509358]"
Aizawl,PM2.5,"[3.4801326971158693, 2.6649963517646276, 2.408778197921815, 3.050882070278901, 3.236264455724776, 3.0658017518544676, 2.853914485307363]"
Aizawl,PM10,"[4.687416484017883, 4.92479187984091, 6.48762995135656, 6.697602259333425, 6.027900609769336, 5.70214783842662, 5.735228549396007]"
Aizawl,NO,"[11.625421030586898, 11.6411173926494, 11.634197421525485, 11.60690693790365, 11.607225051588442, 11.619218267340294, 11.615562762989944]"
Aizawl,NO2,"[0.092521160719967, 0.06234689661536329, 0.08271550049639682, 0.09534775757670144, 0.07997175653137789, 0.09144674090564717, 0.08154743149558696]"
Aizawl,NOx,"[15.339431838639959, 15.365571035365198, 15.337492215848977, 15.299418344115855, 15.29580037972747, 15.314331146149359, 15.306774617400198]"
Aizawl,NH3,"[19.15916100466951, 20.85219814659148, 22.67894249795095, 22.512882686595024, 21.847277195939792, 21.509193656500614, 21.645695389994348]"
Aizawl,CO,"[0.021142993121053152, 0.05663835397346389, 0.05850958652820052, 0.045591657475342766, 0.0474633491449346, 0.05160593895625907, 0.049815984327281765]"
Aizawl,SO2,"[1.991689736298552, 2.0941310934709785, 2.316297984766798, 2.4025258161218384, 2.3601344901349393, 2.328147252684778, 2.3617367490908596]"
Aizawl,O3,"[2.3414040314197337, 1.898077955448214, 2.0945070639883783, 1.9354639054640148, 2.3084810052850253, 2.2230194053298713, 2.0685243031978886]"
Aizawl,Benzene,"[5.587099221448044, 5.2353182238370515, 4.637939928192688, 4.4582564739059, 4.693780411680706, 4.812085134123823, 4.722761608505131]"
Aizawl,Toluene,"[9.551592490629398, 9.304546667102793, 8.899081670804287, 8.777283193601216, 8.93576437260909, 9.024541093789509, 8.95889743653409]"
Aizawl,Xylene,"[0.10016768927141452, 0.08476084260044231, 0.06941922533843285, 0.05417649436801779, 0.03894961387872043, 0.023749972657123187, 0.008658923083314833]"
Aizawl,AQI,"[19.793497494065374, 19.835238780183897, 19.905563632059856, 19.930692890181646, 19.888738558173593, 19.868627405703304, 19.88157453099259]"
Amaravati,PM2.5,"[20.828674489979026, 20.3696629515698, 19.938555062917874, 20.100948870808605, 20.177947953265424, 20.359567620049408, 20.38627556862182]"
